aptNm,sggCd,regionName,umdNm,jibun,dealYear,dealMonth,dealDay,dealDate,dealAmount,excluUseAr,areaType,floor,buildYear,dealType,cdealDay,cdealType,source_file,source_row,source_no,source_sha256,building,registrationDate,id,updated_at,cancelled,duplicate_count,is_sk,price,month,floor_tier,cell,days
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,02,04,2024-02-04,90000,84.97,84타입,10.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,1402,1402,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,107,24.08.02,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:1402,,False,1,1,9.0,2024-02,6–15층,2024-02 / 6–15층,0
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,02,06,2024-02-06,93000,84.97,84타입,11.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,1394,1394,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,126,24.09.05,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:1394,,False,1,1,9.3,2024-02,6–15층,2024-02 / 6–15층,2
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,04,07,2024-04-07,95000,84.97,84타입,16.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,1197,1197,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,114,24.09.10,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:1197,,False,1,1,9.5,2024-04,16층 이상,2024-04 / 16층 이상,63
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,04,13,2024-04-13,93000,84.97,84타입,8.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,1168,1168,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,136,24.10.04,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:1168,,False,1,1,9.3,2024-04,6–15층,2024-04 / 6–15층,69
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,04,26,2024-04-26,88800,84.97,84타입,3.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,1112,1112,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,128,24.09.05,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:1112,,False,1,1,8.88,2024-04,1–5층,2024-04 / 1–5층,82
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,05,07,2024-05-07,95000,84.97,84타입,11.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,1068,1068,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,103,24.08.20,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:1068,,False,1,1,9.5,2024-05,6–15층,2024-05 / 6–15층,93
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,05,10,2024-05-10,96700,84.97,84타입,5.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,1060,1060,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,152,24.06.07,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:1060,,False,1,1,9.67,2024-05,1–5층,2024-05 / 1–5층,96
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,05,17,2024-05-17,91500,84.97,84타입,4.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,1030,1030,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,126,24.09.27,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:1030,,False,1,1,9.15,2024-05,1–5층,2024-05 / 1–5층,103
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,06,01,2024-06-01,93000,84.97,84타입,8.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,963,963,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,103,24.09.09,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:963,,False,1,1,9.3,2024-06,6–15층,2024-06 / 6–15층,118
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,06,01,2024-06-01,94000,84.97,84타입,10.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,968,968,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,135,24.09.11,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:968,,False,1,1,9.4,2024-06,6–15층,2024-06 / 6–15층,118
