aptNm,sggCd,regionName,umdNm,jibun,dealYear,dealMonth,dealDay,dealDate,dealAmount,excluUseAr,areaType,floor,buildYear,dealType,cdealDay,cdealType,source_file,source_row,source_no,source_sha256,building,registrationDate,id,updated_at,cancelled,has_active_cancelled_key,duplicate_count,conflict_type
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,10,09,2024-10-09,98000,84.97,84타입,15.0,2023,중개거래,20241206,O,아파트(매매)_실거래가_20260906192327.csv,279,279,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,,,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:279,,True,False,1,cancelled_source_row
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,10,04,2024-10-04,98000,84.97,84타입,15.0,2023,중개거래,20241030,O,아파트(매매)_실거래가_20260906192327.csv,301,301,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,,,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:301,,True,True,2,active_and_cancelled_same_key
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,10,04,2024-10-04,98000,84.97,84타입,15.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,305,305,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,102,25.01.10,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:305,,False,True,2,active_and_cancelled_same_key
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,08,09,2024-08-09,97000,84.97,84타입,8.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,559,559,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,130,24.10.25,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:559,,False,True,2,active_and_cancelled_same_key
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,08,09,2024-08-09,97000,84.97,84타입,8.0,2023,중개거래,20240924,O,아파트(매매)_실거래가_20260906192327.csv,560,560,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,,,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:560,,True,True,2,active_and_cancelled_same_key
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,07,28,2024-07-28,94000,84.97,84타입,10.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,633,633,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,102,24.11.05,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:633,,False,True,2,active_and_cancelled_same_key
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,07,28,2024-07-28,94000,84.97,84타입,10.0,2023,중개거래,20241106,O,아파트(매매)_실거래가_20260906192327.csv,634,634,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,,,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:634,,True,True,2,active_and_cancelled_same_key
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,06,27,2024-06-27,85000,84.97,84타입,1.0,2023,중개거래,20241029,O,아파트(매매)_실거래가_20260906192327.csv,836,836,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,,,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:836,,True,True,2,active_and_cancelled_same_key
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,06,27,2024-06-27,85000,84.97,84타입,1.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,841,841,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,117,25.01.03,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:841,,False,True,2,active_and_cancelled_same_key
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,17,2025-12-17,97200,84.97,84타입,13.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,75,75,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,133,26.02.27,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:75,,False,True,2,active_and_cancelled_same_key
