id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,_resolved_type
1061,2026-01-31,2026,1,31,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,7.0,84.97,84타입,96500,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1063,2026-01-30,2026,1,30,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,17.0,84.97,84타입,94000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1064,2026-01-29,2026,1,29,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,3.0,84.97,84타입,91000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1067,2026-01-20,2026,1,20,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,102500,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1069,2026-01-14,2026,1,14,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,98000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1070,2026-01-09,2026,1,9,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,95200,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1072,2026-01-08,2026,1,8,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,96000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1073,2026-02-14,2026,2,14,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,65100,2023,미상,2026-08-30 03:07:16,,,False,2,False,직거래
1074,2026-02-21,2026,2,21,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,11.0,84.97,84타입,97500,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1075,2026-02-27,2026,2,27,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,4.0,84.99,84타입,87500,2024,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1077,2026-02-27,2026,2,27,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,99000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1079,2026-02-27,2026,2,27,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,99000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1080,2026-02-25,2026,2,25,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,10.0,84.97,84타입,99500,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1082,2026-02-24,2026,2,24,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,97000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1084,2026-02-23,2026,2,23,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,92000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1085,2026-02-13,2026,2,13,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,11.0,84.99,84타입,85100,2024,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1088,2026-02-13,2026,2,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,98000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1089,2026-02-10,2026,2,10,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,99000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1090,2026-02-12,2026,2,12,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,91400,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1092,2026-02-11,2026,2,11,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,3.0,84.99,84타입,83000,2024,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1094,2026-02-09,2026,2,9,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,3.0,84.97,84타입,90000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1095,2026-02-06,2026,2,6,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,16.0,84.97,84타입,96000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
