cell,month,floor_tier,sk_n,ip_n,sk_mean,ip_mean,gap,weight
2025-03 / 6–15층,2025-03,6–15층,4,1,9.555,8.5,1.0549999999999997,0.8
2025-04 / 16층 이상,2025-04,16층 이상,1,1,9.27,8.9,0.3699999999999992,0.5
2025-05 / 6–15층,2025-05,6–15층,1,1,9.33,8.8,0.5299999999999994,0.5
2025-06 / 6–15층,2025-06,6–15층,5,3,9.386,8.913333333333334,0.47266666666666524,1.875
2025-07 / 6–15층,2025-07,6–15층,4,1,9.287500000000001,7.77,1.5175000000000018,0.8
2025-08 / 1–5층,2025-08,1–5층,1,2,9.0,8.475,0.5250000000000004,0.6666666666666666
2025-10 / 6–15층,2025-10,6–15층,5,1,9.562000000000001,8.5,1.0620000000000012,0.8333333333333334
2025-11 / 1–5층,2025-11,1–5층,2,1,8.8,8.75,0.05000000000000071,0.6666666666666666
2025-11 / 6–15층,2025-11,6–15층,4,2,9.37875,8.575,0.8037500000000009,1.3333333333333333
2025-12 / 16층 이상,2025-12,16층 이상,1,2,9.65,9.0,0.6500000000000004,0.6666666666666666
2025-12 / 6–15층,2025-12,6–15층,7,1,9.512857142857143,8.65,0.862857142857143,0.875
2026-02 / 1–5층,2026-02,1–5층,4,2,9.01,8.525,0.48499999999999943,1.3333333333333333
2026-02 / 6–15층,2026-02,6–15층,9,2,9.42888888888889,8.530000000000001,0.8988888888888891,1.6363636363636365
2026-03 / 1–5층,2026-03,1–5층,2,1,9.215,8.25,0.9649999999999999,0.6666666666666666
2026-03 / 6–15층,2026-03,6–15층,7,2,9.96142857142857,8.85,1.1114285714285703,1.5555555555555556
2026-04 / 1–5층,2026-04,1–5층,2,1,9.54,6.5,3.039999999999999,0.6666666666666666
2026-05 / 16층 이상,2026-05,16층 이상,1,1,9.88,9.2,0.6800000000000015,0.5
2026-05 / 1–5층,2026-05,1–5층,1,1,9.65,8.43,1.2200000000000006,0.5
2026-05 / 6–15층,2026-05,6–15층,9,3,9.794444444444444,8.99,0.8044444444444441,2.25
2026-06 / 16층 이상,2026-06,16층 이상,2,2,9.95,8.945,1.004999999999999,1.0
2026-06 / 6–15층,2026-06,6–15층,9,2,10.102222222222224,8.85,1.2522222222222243,1.6363636363636365
2026-07 / 16층 이상,2026-07,16층 이상,3,3,10.316666666666668,9.433333333333334,0.8833333333333346,1.5
2026-07 / 1–5층,2026-07,1–5층,3,2,8.923333333333334,8.85,0.07333333333333414,1.2
2026-07 / 6–15층,2026-07,6–15층,6,5,10.515,9.086,1.4290000000000003,2.727272727272727
