month,sk_n,ip_n,cells,weighted_gap
2025-03,4,1,1,1.0549999999999997
2025-04,1,1,1,0.3699999999999992
2025-05,1,1,1,0.5299999999999994
2025-06,5,3,1,0.47266666666666524
2025-07,4,1,1,1.5175000000000018
2025-08,1,2,1,0.5250000000000004
2025-10,5,1,1,1.0620000000000012
2025-11,6,3,2,0.5525000000000008
2025-12,8,3,2,0.7708108108108112
2026-02,13,4,2,0.7130612244897958
2026-03,9,3,2,1.0674999999999992
2026-04,2,1,1,3.039999999999999
2026-05,11,5,3,0.8492307692307693
2026-06,11,4,2,1.1584482758620698
2026-07,12,10,3,0.9784422110552768
