aptNm,sggCd,regionName,umdNm,jibun,dealYear,dealMonth,dealDay,dealDate,dealAmount,excluUseAr,areaType,floor,buildYear,dealType,cdealDay,cdealType,source_file,source_row,source_no,source_sha256,building,registrationDate,id,updated_at,cancelled,duplicate_count,is_sk,price,month,floor_tier,cell,days
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,03,01,2025-03-01,93500,84.97,84타입,15.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1833,1833,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,124,25.06.05,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1833,,False,1,1,9.35,2025-03,6–15층,2025-03 / 6–15층,391
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,03,03,2025-03-03,96500,84.97,84타입,9.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1826,1826,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,124,25.05.23,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1826,,False,1,1,9.65,2025-03,6–15층,2025-03 / 6–15층,393
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,03,06,2025-03-06,98200,84.97,84타입,8.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1810,1810,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,103,25.05.30,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1810,,False,1,1,9.82,2025-03,6–15층,2025-03 / 6–15층,396
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,03,10,2025-03-10,85000,84.99,84타입,7.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1780,1780,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,101,25.08.19,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1780,,False,1,0,8.5,2025-03,6–15층,2025-03 / 6–15층,400
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,03,29,2025-03-29,94000,84.97,84타입,12.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1656,1656,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,103,25.05.20,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1656,,False,1,1,9.4,2025-03,6–15층,2025-03 / 6–15층,419
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,04,16,2025-04-16,89000,84.99,84타입,19.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1548,1548,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,106,25.07.15,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1548,,False,1,0,8.9,2025-04,16층 이상,2025-04 / 16층 이상,437
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,04,25,2025-04-25,92700,84.97,84타입,17.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1491,1491,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,109,25.06.05,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1491,,False,1,1,9.27,2025-04,16층 이상,2025-04 / 16층 이상,446
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,05,16,2025-05-16,93300,84.97,84타입,12.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1392,1392,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,109,25.07.25,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1392,,False,1,1,9.33,2025-05,6–15층,2025-05 / 6–15층,467
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,05,31,2025-05-31,88000,84.99,84타입,12.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1300,1300,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,104,25.09.30,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1300,,False,1,0,8.8,2025-05,6–15층,2025-05 / 6–15층,482
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,06,03,2025-06-03,93100,84.97,84타입,14.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1281,1281,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,135,25.09.15,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1281,,False,1,1,9.31,2025-06,6–15층,2025-06 / 6–15층,485
