label,formula,covariance,n,sk_n,ip_n,months,unit,status,estimate,r_squared,parameters,ci_low,ci_high,p_value
기존 방식 재현: 중복 포함·선형 시간/층,price ~ is_sk + floor + days,nonrobust,331,243,88,28,억원,ok,0.9635898338798803,0.4573406099410654,4,0.8340805978075772,1.0930990699521834,1.155957883569921e-37
DB 중복 정리 후 기존 식,price ~ is_sk + floor + days,HC3,218,166,52,28,억원,ok,0.9207023842216753,0.4465327296822613,4,0.7589297476482763,1.0824750207950742,2.852493633488136e-23
공통월·월/층구간 가산 보정,price ~ is_sk + C(month) + C(floor_tier),cluster,166,120,46,16,억원,ok,0.8934541204081019,0.6040535171959917,19,0.6900172407425278,1.096891000073676,1.1828575681665056e-07
주 분석: 공통 월×층구간,price ~ is_sk + C(cell),cluster,136,93,43,15,억원,ok,0.9203609681326019,0.6444524245951901,25,0.7200978111637973,1.1206241251014064,1.1163696052421519e-07
주 분석의 HC3 구간,price ~ is_sk + C(cell),HC3,136,93,43,15,억원,ok,0.9203609681326019,0.6444524245951901,25,0.7346528950163698,1.106069041248834,9.285375880487121e-17
최근 잠정월 포함,price ~ is_sk + C(cell),cluster,143,96,47,16,억원,ok,0.9726516635793412,0.6709743448802759,27,0.7454246097409456,1.1998787174177368,1.6465660928484593e-07
직거래 제외,price ~ is_sk + C(cell),cluster,130,88,42,14,억원,ok,0.9244939243572634,0.7526866990567875,24,0.7294661887463667,1.11952165996816,1.3641691981664902e-07
중개거래만,price ~ is_sk + C(cell),cluster,130,88,42,14,억원,ok,0.9244939243572634,0.7526866990567875,24,0.7294661887463667,1.11952165996816,1.3641691981664902e-07
월별 각 3건 이상,price ~ is_sk + C(cell),cluster,113,77,36,9,억원,ok,0.9217103027321937,0.6176867149916195,19,0.6757330202067056,1.1676875852576818,2.497292529707659e-05
월별 각 5건 이상,price ~ is_sk + C(cell),cluster,38,23,15,2,억원,점추정만: 월 군집 6개 미만,0.9300471451021468,0.7190141484250108,7,,,
단지별 양끝 1% 제외,price ~ is_sk + C(cell),cluster,129,88,41,14,억원,ok,0.8707251594528406,0.7870844493019443,24,0.7234253255295577,1.0180249933761234,9.872722659731853e-09
월 보정·층수 이차식,price ~ is_sk + C(month) + floor + I(floor ** 2),cluster,166,120,46,16,억원,ok,0.8818397761505249,0.6079887222463529,19,0.6826689192491914,1.0810106330518585,1.064966372350145e-07
월 보정·개별 층 범주,price ~ is_sk + C(month) + C(floor),cluster,166,120,46,16,억원,ok,0.9400903119690375,0.6520475651172213,35,0.7143311110291432,1.165849512908932,2.3427640504437572e-07
로그가격: 같은 월×층구간,np.log(price) ~ is_sk + C(cell),cluster,136,93,43,15,%,ok,10.53352059086291,0.6098241443854597,25,7.93372305808166,13.19593939732911,3.27880467152245e-07
DB 정리본으로 주 분석 재계산,price ~ is_sk + C(cell),cluster,133,91,42,15,억원,ok,0.9269398998928309,0.6445118323098635,25,0.7278063450263735,1.1260734547592883,9.532114993329732e-08
