month,sk_n,sk_median,sk_mean,ip_n,ip_median,ip_mean,gap_median,gap_mean,provisional
2024-01,0,,,0,,,,,False
2024-02,2,9.15,9.15,0,,,,,False
2024-03,0,,,0,,,,,False
2024-04,3,9.3,9.226666666666667,0,,,,,False
2024-05,3,9.5,9.44,0,,,,,False
2024-06,9,9.35,9.197777777777778,0,,,,,False
2024-07,5,9.45,9.49,0,,,,,False
2024-08,7,9.5,9.474285714285713,0,,,,,False
2024-09,2,9.35,9.35,0,,,,,False
2024-10,2,9.625,9.625,0,,,,,False
2024-11,3,9.65,9.63,0,,,,,False
2024-12,0,,,0,,,,,False
2025-01,0,,,0,,,,,False
2025-02,3,9.0,8.916666666666666,0,,,,,False
2025-03,4,9.525,9.555,1,8.5,8.5,1.0250000000000004,1.0549999999999997,False
2025-04,5,9.2,9.174,1,8.9,8.9,0.29999999999999893,0.27399999999999913,False
2025-05,5,9.1,9.046,1,8.8,8.8,0.29999999999999893,0.24599999999999866,False
2025-06,9,9.31,9.118888888888888,3,8.89,8.913333333333334,0.41999999999999993,0.20555555555555394,False
2025-07,4,9.29,9.2875,1,7.77,7.77,1.5199999999999996,1.5175,False
2025-08,3,9.25,9.233333333333333,2,8.475,8.475,0.7750000000000004,0.7583333333333329,False
2025-09,1,9.6,9.6,1,8.83,8.83,0.7699999999999996,0.7699999999999996,False
2025-10,10,9.475,9.489,1,8.5,8.5,0.9749999999999996,0.9890000000000008,False
2025-11,6,9.27,9.185833333333333,3,8.75,8.633333333333333,0.5199999999999996,0.5525000000000002,False
2025-12,8,9.510000000000002,9.530000000000001,3,8.7,8.883333333333333,0.8100000000000023,0.6466666666666683,False
2026-01,7,9.6,9.617142857142856,0,,,,,False
2026-02,14,9.649999999999999,9.321428571428571,4,8.530000000000001,8.5275,1.1199999999999974,0.7939285714285713,False
2026-03,10,9.815000000000001,9.776,3,8.7,8.65,1.115000000000002,1.1259999999999994,False
2026-04,4,9.79,9.870000000000001,3,8.9,8.1,0.8899999999999988,1.7700000000000014,False
2026-05,11,9.8,9.789090909090909,5,9.02,8.919999999999998,0.7800000000000011,0.8690909090909109,False
2026-06,15,9.9,9.945333333333334,4,8.945,8.8975,0.9550000000000001,1.0478333333333332,False
2026-07,13,10.4,10.093076923076923,10,9.0,9.143,1.4000000000000004,0.9500769230769226,False
2026-08,3,11.0,11.083333333333334,7,9.4,9.225714285714286,1.5999999999999996,1.857619047619048,True
2026-09,0,,,0,,,,,True
