"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 수원시 팔달구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 수원시 팔달구 화서동","650","0650","0000","화서주공4단지","59.5700","202212","31","42,000","-","4","-","-","1997","덕영대로697번길 48","-","중개거래","경기 수원영통구 경기 수원팔달구","-"
"2","경기도 수원시 팔달구 인계동","319-6","0319","0006","신반포수원(한신)","41.8500","202212","31","19,000","-","1","-","-","1981","장다리로306번길 13","-","중개거래","경기 수원팔달구","-"
"3","경기도 수원시 팔달구 우만동","496","0496","0000","풍림","39.6000","202212","31","32,000","-","1","-","-","1988","세지로 439-13","-","중개거래","경기 수원팔달구 경기 화성시","-"
"4","경기도 수원시 팔달구 화서동","650","0650","0000","화서주공4단지","49.9900","202212","30","39,300","-","16","-","-","1997","덕영대로697번길 48","-","중개거래","경기 수원팔달구","-"
"5","경기도 수원시 팔달구 화서동","684-2","0684","0002","꽃뫼마을신동아","59.7600","202212","28","37,000","-","10","-","-","1999","화산로 24","-","중개거래","경기 수원팔달구","-"
"6","경기도 수원시 팔달구 고등동","310","0310","0000","수원역푸르지오자이","59.9900","202212","27","53,000","-","3","-","-","2021","고등로 15","-","중개거래","경기 수원팔달구","-"
"7","경기도 수원시 팔달구 인계동","159","0159","0000","선경3","133.8400","202212","26","41,000","-","1","-","-","1996","권광로317번길 15","-","직거래","-","-"
"8","경기도 수원시 팔달구 지동","365-20","0365","0020","포레스트","12.6170","202212","26","7,500","-","8","-","-","2014","세지로 279-1","-","중개거래","경기 화성시","-"
"9","경기도 수원시 팔달구 인계동","939-5","0939","0005","코스모골드","14.8770","202212","24","6,000","-","12","-","-","2014","장다리로 325","-","직거래","-","-"
"10","경기도 수원시 팔달구 인계동","1132-1","1132","0001","인계지음","14.5537","202212","23","6,100","-","10","-","-","2013","권선로741번길 21","-","중개거래","경기 수원권선구","-"
"11","경기도 수원시 팔달구 인계동","159","0159","0000","선경3","59.3200","202212","21","30,000","-","12","-","-","1996","권광로317번길 15","-","중개거래","경기 수원팔달구","-"
"12","경기도 수원시 팔달구 우만동","607","0607","0000","수원광교양우내안애애플아파트","13.3900","202212","19","8,300","-","4","-","-","2013","권광로367번길 11","-","중개거래","경기 수원팔달구","-"
"13","경기도 수원시 팔달구 우만동","607","0607","0000","수원광교양우내안애애플아파트","13.7300","202212","19","8,450","-","6","-","-","2013","권광로367번길 11","-","중개거래","경기 수원팔달구","-"
"14","경기도 수원시 팔달구 화서동","706","0706","0000","꽃뫼버들마을진흥","59.9600","202212","19","46,000","-","9","-","-","2002","화산로 57","-","중개거래","경기 수원팔달구","-"
"15","경기도 수원시 팔달구 화서동","650","0650","0000","화서주공4단지","59.9800","202212","17","46,200","-","7","-","-","1997","덕영대로697번길 48","-","중개거래","경기 수원팔달구","-"
"16","경기도 수원시 팔달구 인계동","319-6","0319","0006","신반포수원(한신)","42.0700","202212","17","24,600","-","4","-","-","1983","장다리로306번길 13","-","중개거래","경기 수원팔달구","-"
"17","경기도 수원시 팔달구 인계동","319-6","0319","0006","신반포수원(한신)","41.7200","202212","17","19,000","-","10","-","-","1983","장다리로306번길 13","-","중개거래","경기 수원팔달구","-"
"18","경기도 수원시 팔달구 우만동","607","0607","0000","수원광교양우내안애애플아파트","13.7300","202212","16","8,450","-","3","-","-","2013","권광로367번길 11","-","중개거래","경기 수원팔달구","-"
"19","경기도 수원시 팔달구 우만동","607","0607","0000","수원광교양우내안애애플아파트","13.3000","202212","16","8,450","-","9","-","-","2013","권광로367번길 11","-","중개거래","경기 수원팔달구","-"
"20","경기도 수원시 팔달구 우만동","607","0607","0000","수원광교양우내안애애플아파트","13.3900","202212","16","8,400","-","4","-","-","2013","권광로367번길 11","-","중개거래","경기 수원팔달구","-"
"21","경기도 수원시 팔달구 우만동","607","0607","0000","수원광교양우내안애애플아파트","13.3900","202212","16","8,400","-","10","-","-","2013","권광로367번길 11","-","중개거래","경기 수원팔달구","-"
